topic,weibo_content,weibo_id
宏观经济-外汇与外贸,发表了博文《汇率不是什么大风险这件事才可怕处理不好准备过几十年苦日子！》汇率不是什么大风险这件事才可怕处理不好准备过几十年苦日子！2018/8/1微信公众号“叶檀财经”有人非常担心人民币汇率失控下跌，,4268184904842500
金融无关,#经济课堂#【各种税额计算公式 火速收藏！】不要为找不到增值税计算公式而发愁~小编为你送上各种税额计算公式大全，让你轻松找到要用的公式，收藏，备用。,4268183893975330
金融无关,赵晓教授主讲，精彩值得期待,4268180626610210
金融无关,【面条最简单的做法】午餐时间到啦，不揉面，不擀面，5分钟做一锅，营养又美味[馋嘴],4268176352766900
市场行为-股票,【沪指冲高回落跌0.32%，自贸港板块逆势大涨】截至上午收盘，沪指跌0.32%，报收2867点；深成指跌0.33%，报收9148点；创业板涨0.21%，报收1564点。,4268173505125830
市场监管,【国家药监局：组成核查组赴武汉核查百白破疫苗处置工作】为进一步落实习近平总书记、李克强总理重要指示批示精神，保障人民群众身体健康，8月1日，按照国务院要求，国家药监局会同卫生健康委等部门组成由国家药监局党组书记、副局长李利任组长的核查组，赴武汉就武汉生物制品研究所有限责任公司（简称武汉生物）2017年效价不合格百白破疫苗处置工作开展核查。,4268173026867950
金融无关,#我和军队的不解之缘#【我与战舰共成长[心]】从出海就吐的“晕船大王”到舰艇“首席操舵手”，他操舰航行距离可绕地球21圈；从按时作息的“养生少女”到保障舰艇安全的守护神，她值了700次夜班。每个数字背后都是他们仗剑闯大洋的蓝色印记。建军91周年，致敬！#同心共筑强军梦#,4268171525328360
市场行为-股票,#上证快讯#【三大股指冲高回落 上海自贸概念表现活跃】沪指早盘冲高回落，震荡翻绿；创业板指一度涨逾1%，但临近午盘也涨幅收窄。盘面上，上海自贸概念板块表现活跃，东方创业涨停，长江投资涨逾6%；在线旅游、国产芯片等板块也涨幅居前。另一方面，房地产板块领跌，钢铁、水泥、采掘等周期板块高开低走，板块内多只个股翻绿。,4268171017646970
市场行为-股票,收摊！不知道怎么点评上午走势了，你们说吧。,4268168338192150
市场监管,国家药监局副局长李利带队，会同多部门组成核查组，赴武汉核查百白破疫苗处置工作。,4268168111233600
市场行为-股票,【预期股指期货交易松绑 量化对冲私募欲发产品扩规模】对于监管层表态抓紧恢复股指期货常态化交易的新闻，有不少私募表示应该开始策划量化策略产品方案了，如磐耀资产辜若飞在朋友圈表示，“有代销能力的期货公司看过来，磐耀资产接下来将会发行一款混合策略的产品”。,4268165188124220
金融无关,【中央军委印发《军队实施党内监督的规定》《军队实行党的问责工作规定》】新华社北京8月1日电日前，中央军委印发《军队实施党内监督的规定》《军队实行党的问责工作规定》，自2018年8月1日起施行。两个《规定》以习近平新时代中国特色社会主义思想为指导，全面贯彻习近平强军思想，着眼实现党在新时代的强军目标，深入推进政治建军、改革强军、科技兴军、依法治军，聚焦全面从严治党，坚持旗帜引领、把握根本遵循，坚持问题导向、力求务实管用，坚持统筹协调、科学筹划设计，坚持继承创新、体现军队特色，切实在加强军队党内监督、党的问责工作上立规明矩，立起刚性措施。两个《规定》的印发施行，对进一步规范军队各级党委、纪委履行管党治党主体责任和监督责任，推进军队正风肃纪反腐向纵深发展，具有重要意义。《军队实施党内监督的规定》着眼监督主体、监督职责、监督措施的有机统一，以监督责任为主轴，区别不同主体，明确监督职责，规范具体制度，建立中央军委统一领导、党委全面监督、纪委专责监督、基层党组织日常监督、党员民主监督的军队党内监督体系。《军队实行党的问责工作规定》围绕有权必有责、有责要担当、失责必追究，完善问责制度，健全问责机制，强化问责落实，规范党组织管党治党政治责任，督促党员领导干部践行忠诚干净担当。,4268162734005810
市场行为-股票,别空仓，别满仓，弄个2-3成仓，喝茶看戏！涨跌随便,4268162579169110
市场行为-股票,发布了头条文章：《A股成交量创逾5个月新低，拐点临近还是另有深意？》,4268161957901300
金融无关,【暖心！暴雨天积水拦路，爷爷淋雨给孙儿撑伞[心]】7月30日，河南许昌正值暴雨天气，路面积水严重，一道路旁有爷孙俩因积水过不去一直在等，爷爷将雨伞 给孙子撑着避免其淋雨，自己却淋着雨。网友：小时候爷爷也是这样给我撑伞的！,4268161605947080
市场监管,【市场监管总局密切关注“拼多多”相关报道，上海市工商局已开展调查】市场监管总局：对媒体反映的以及消费者、商标权利人投诉举报的拼多多平台上销售山寨产品、傍名牌等问题，认真开展调查检查，不管是第三方平台还是平台内经营者，只要构成违法，都将依法严肃处理。,4268159517114290
市场监管,国家市场监督管理总局表态，已要求上海市工商局约谈拼多多，对大家投诉举报的拼多多平台上销售山寨产品、傍名牌等问题，认真开展调查检查，不管是第三方平台还是平台内经营者，只要构成违法，都将依法严肃处理。,4268157381849850
市场监管,【市场监管总局密切关注媒体有关“拼多多”的报道 上海市工商局已开展调查】#拼多多 侵权假冒缠身#市场监管总局1日消息，国家市场监督管理总局网监司高度重视媒体反映的拼多多平台上销售侵权假冒商品等问题，已经要求上海市工商局约谈平台经营者，并要求上海市和其他相关地方工商、市场监管部门，对媒体反映的以及消费者、商标权利人投诉举报的拼多多平台上销售山寨产品、傍名牌等问题，认真开展调查检查，不管是第三方平台还是平台内经营者，只要构成违法，都将依法严肃处理。,4268157282100350
金融无关,#我和军队的不解之缘#【军歌嘹亮庆八一】百听不厌是军号，常唱不衰是军歌，本色不褪是军装，终生不悔是军旅，风雨不动是军旗，永远不变是军魂！看三军战士真情演绎经典军歌，百听不厌！关于军歌，你是“达人”还是“小白”？参与互动，还有奖品等你拿！,4268156702888090
金融无关,【档案君丨人民军队诞生记】1927年8月1日，中国共产党独立领导的南昌起义爆发，打响了中国共产党武装反抗国民党反动派的第一枪，标志着中国共产党独立领导革命战争、创建人民军队和武装夺取政权的开始。,4268156295862910
市场监管,国家市场监管总局：密切关注媒体有关“拼多多”的报道 上海市工商局已开展调查。,4268155876259140
市场行为-股票,A股成交量创逾5个月新低，拐点临近还是另有深意？(同步自@新浪看点 ),4268155217564150
市场行为-股票,发表了博文《A股成交量创逾5个月新低，拐点临近还是另有深意？》A股成交量创逾5个月新低，拐点临近还是另有深意？成交量能的变化，往往代表着当前市场的信心高低。然而，经历了一轮深度调整之后，A股市场的成交,4268154677307720
市场行为-股票,海洲实话：提防外籍人士在境外是“好孩子”到A股成“坏孩子”,4268153779173090
宏观经济-财政与货币政策,人民日报海外版旗下公号侠客岛解读政治局会议：财政政策和货币政策微调，对冲经济下行的压力。,4268153263383980
金融无关,#行进长江经济带#【6句话了解“水中大熊猫”中华鲟】1、它个头大，能长到两米多长、500多斤，寿命跟人差不多。2、野生中华鲟婴儿时期就顺江而下出海，十几岁成年后，又在茫茫大海中找到长江口，溯游到自己出生地，产卵后再返回大海。3、滥捕滥捞、化工污染等，让中华鲟面临生存危机。它的野生种群极少，且雌雄比达7：1以上。4、目前得到确认的中华鲟产卵场仅葛洲坝坝下一处。5、现在已经人工繁育出中华鲟“子二代”，并通过增殖放流，帮中华鲟恢复野生种群。6、中华鲟依然很危险！我们要保护长江母亲河，别让这些珍稀鱼类灭绝！（记者陈玉明、金立旺）,4268153066641320
市场行为-股票,开盘一小时点评：今日早盘，受昨天最高指示6个稳利好影响，早盘大盘高开冲高上试2900点左右的压力后回落，呈现震荡走势格局。早间看盘已经分析了，三大制约股市的影响，陆续在改善，有积极的方面和内容，如财政实施积极财政，扩大基建投资，暂缓CDR进程等，国内这块望好的方向再 变，唯一不确定性就是中美贸易问题，总体看大盘暂时不会再度大跌，区间震荡等待消息明确是主要走势。今天大盘冲高回落再拉高的面大，个股适当关注西部开发和建设题材，一带一路和自贸区等区域板块，跟着游资炒地图！,4268152869236410
宏观经济-外汇与外贸,#上证快讯#【在岸人民币兑美元汇率上涨逾300点】8月1日，在岸人民币兑美元开盘后快速上行。截至10点02分，在岸人民币兑美元汇率跳升375点，报6.7880。,4268152257075890
微观经济-企业与房地产,【多地上调房贷利率 有地方首套房利率上浮50% 全国首房贷连涨18个月】自2017年以来，全国的房贷利率连续上调，从基准利率的八折优惠到上浮20%或30%，有些地方的首套房贷利率甚至上浮了50%，即7.35%左右。针对这种情况，中原地产首席分析师张大伟认为，本轮房贷利率上调，是从一个历史低位开始的，与之前的数据对比，现在仍处在一个中等水平。中信建投房地产首席分析师陈慎预测，房贷利率未来仍有可能上调，但涨幅最快的阶段已经过去，上涨幅度会相对缓和。（中新网）,4268149497559360
金融无关,7月31日媒体沟通会，黄铮原本并不在出席名单中。下午5时许媒体陆续离开，在撤回路上，接到通知“黄峥赶回来了”，记者们纷纷重返沟通会现场。这一次，黄峥用了近两个小时，逐个再次回答记者提问。黄峥呼吁要分清楚事情的性质，有的是对错问题，有的是利益问题，山寨不是假货。,4268149291583060
微观经济-企业与房地产,【二线城市房贷利率远超一线，房地产调控冷热交汇】21世纪经济报道记者调查多个热点城市的银行和房地产中介发现，到目前为止，房地产市场并未明显放松，房贷额度仍然紧张，且部分二线热点城市还在加强调控力度，贷款利率也多超过一线城市。,4268148599047550
宏观经济-外汇与外贸,【关税压力让宝洁也扛不住了：纸尿裤等产品北美全线涨价】随着进口纸浆价格大涨，宝洁加入了可口可乐和惠而浦的行列，宣布北美市场的帮宝适售价提高4%，知名卫生纸品牌将涨价5%，还考虑对美国以外的市场及其他品牌进行提价。而此前多年，宝洁则在降价或者提供大幅折扣。来源：华尔街见闻,4268148218072130
金融无关,【56种解放军佩戴的臂章，你都认识吗？】小小臂章，尽展国防和军队改革新风貌。枪、铁锚、飞翅、导弹分别象征哪个军种？哪些部门的主标志是“八一”军旗？哪些单位的主标志是红黄双色“八一”五星军徽？…今天，八一建军节，56种解放军臂章全系列，教你认清楚。@人民日报,4268146456418110
金融无关,#民民直播#【“国际军事比赛-2018”进入第三个比赛日】#国际军事比赛#“苏沃洛夫突击”步战车组单车赛第二组比赛开赛！该比赛项目考核的是步战车组机动越野和精确射击。在规定距离条件下，步战车组越过防坦克壕、车辙桥、起伏路段、崖壁等障碍，依次完成火炮、机枪射击。.,4268145470795950
微观经济-企业与房地产,【深圳打响楼市个人限卖第一枪 限售限离限企业买房】深圳楼市重度调控消息今日坐实！四大调控重点怕是让很多人坐不住了！重点一：单位不能购买住宅；重点二：新供应用地的商务公寓只租不售，新政后购买的商务公寓5年限售；重点三：新政后个人购房3年限售，之前买的不受限制；重点四：离婚2年内买房，实施差别化按揭政策。来源：券商中国,4268143926562860
宏观经济-外汇与外贸,【关税压力让宝洁也扛不住了：纸尿裤等产品北美全线涨价】美东时间周二，日用消费品巨头宝洁（P&G）宣布，已将北美市场的帮宝适（Pampers）产品提价4%， Bounty、Charmin、Puffs这三大纸巾品牌的售价将平均上调5%。宝洁还考虑是否对美国以外的市场及其他品牌的产品进行提价，范围可能扩大至剃须膏、牙膏等。,4268143390382760
微观经济-微观经济其它,【第三方支付全牌照价格高达30亿，银行卡位B端争份额】移动支付如火如荼的发展，第三方移动支付牌照价格水涨船高，已经30亿难求。,4268142094215170
市场行为-股票,房地产板块受政策冲击，早盘大跌！炒房的来炒股吧,4268141306052730
市场行为-股票,#上证快讯#【三大股指集体高开 房地产板块跌幅居前】A股三大股指周三集体高开。盘面上，行业板块多数飘红，建筑装饰、钢铁、建材板块涨幅居前；房地产板块开盘领跌。,4268141112827850
市场行为-股票,天成控股复牌跌停开盘。,4268137970812330
市场行为-股票,高开6.11点，看看是否走开门红！关注黄白线关系，队形正确的话，择机加点仓！,4268137887715810
金融无关,【电子竞技迎来繁荣时代，中国战队斩获《绝地求生》世界冠军】乘着电子竞技产业的东风，“吃鸡游戏”在火爆一年半之后，又凭借举办国际赛事再上新台阶，而中国战队骄傲夺冠，也向世界证明了中国电竞的实力。,4268137425475500
市场行为-期货衍生品,"【沪胶9-1价差及期权策略探讨】沪胶的9-1价差由于波动剧烈，每年都是套利交易的重头戏，尤其是去年遇到轮储炒作以及期货拉升，9-1价差最高到3500左右。今年9-1价差从1月份开出来就是1800左右，明显高于往年，随后逐渐走阔到最高2200左右,然6月随着20号胶立项通过9-1价差波...",4268136784598500
市场行为-股票,【专家深夜挑灯研读！中央政治局会议透露出下半年经济工作哪些重大信息】7月31日召开的中共中央政治局会议分析研究了当前经济形势，对下半年经济工作进行了部署。上证报记者加班加点，连夜采访了多位专家，对会议传递出的多项政策信息进行了解读。上海证券报微信公众号(ID：shzqbwx)，未经授权，不得 载，否则追究法律责任！,4268136771450700
市场行为-股票,【机构调仓换股捕捉八月机会 六大行业组合攻守兼备】经历一轮反弹行情后，A股市场开始分化，局部热点重新活跃，业内人士普遍认为，随着8月份的到来，在中报业绩大规模披露之际，新的主题投资机会或将出现，值此调仓换股之际，招商证券、广发证券、中金公司等机构也纷纷发布8月份策略报告，对8月份的配置机会给出自己的建议。其中，招商证券就表示，进入8月份，市场风险偏好有望继续提升，机会将会明显增多。,4268136083273460
市场行为-股票,【前海人寿盈利承压进驻城商行，11亿港元买入九江银行逾亿股】以紧随超额配股权获部分行使后的H股计，前海人寿时值持股九江银行的H股约在25.69%。总体而言，前海人寿所持这部分股权占九江银行已发行股本的4.35%。,4268136070997460
宏观经济-财政与货币政策,财联社8月1日讯，人民币兑美元中间价设在1美元兑 6.8293 元人民币，人民币贬值128点，中间价贬值至2017年5月31日以来最低。,4268135504717340
宏观经济-财政与货币政策,【维持宽松但允许收益率浮动，日本央行政策微调抗通缩】万众瞩目的日本央行利率决议并未带来太多惊喜，该行依然维持宽松货币政策框架，但值得注意的是，它对局部细节进行了微调，宣布数项举措，以便更好地打一场抗击“通缩”的持久战。,4268134364148970
市场行为-股票,【7月份10大牛股榜出炉 涨幅均超45%两大特征明显】《证券日报》市场研究中心根据同花顺数据统计发现，剔除7月份上市的次新股，部分个股在市场持续震荡中率先企稳反弹成为焦点，具体来看，锐科激光、斯太尔、丹邦科技、彤程新材、成都路桥、通产丽星、赫美集团、神开股份、天成控股、欣龙控股等10只牛股月内累计涨幅居前，均在45%以上。,4268133566716810
市场行为-股票,【丸美股份二度上会遭临门取消，医美行业IPO为何这么难？】7月30日晚间，中国证监会发布消息称，因丸美股份“尚有相关事项需要进一步核查”，决定取消于31日对其的首发上市审核。这是自2016年11月丸美股份首度上会遭发审委否决后，其第二次遭遇类似IPO搁浅事宜。截至目前，并未有一家医美行业公司，通过IPO方式登陆A股。医美行业上市难，你觉得有哪些原因[疑问],4268133189458930
市场监管,【8家企业IPO受挫急 并购，监管关切被否原因、整改结果】前七个月共有8家并购标的曾有独立上市计划，其中4家则是新冲刺A股的企业，在2017-2018年间首发上市未果。,4268132321527510
金融无关,#我和军队的不解之缘#【向护国者，致敬！[心]】陈祖军，负责整个潜艇供电，一旦设备损坏，会致艇毁人亡。一次，潜艇突然进水，他第一时间封闭自己舱室。“再晚一分钟，我们就浮不上来了...”今年“八·一”，人民网推出大型系列纪录片《强军兴军·护国者》，向军人致敬！,4268131260215830
金融无关,【黑头不是挤挤就能没的，三招教你远离“草莓鼻”！】黑头到底是从哪来？黑头该不该挤？怎么样才能让黑头去无踪？被黑头问题困扰的同学们看过来，关于去黑头，你要了解的知识都在这了，还有三个小妙招教你远离“草莓鼻”！ 发收藏！,4268131050777210
银行保险业-银行保险,【南京银行140亿定增“罕见”被否，引发市场揣测】140亿定增获得江苏银监局核准，原以为逐级通过会比较顺利，谁也没有想到，一纸公告，定增方案遭证监会否决。问题在于，这是行业现象还是个案呢？,4268130652312390
市场行为-股票,【业绩预增近3倍，却瞬间跌停！谁撂倒了风华高科这只绩优股？】本来走得好好的股票，突然垂直砸到了跌停板上，持有风华高科的投资者昨天就经历这样的一场噩梦。交易所盘后披露的龙虎榜数据显示，风华高科昨日的卖出力量主要来自于营业部席位构成。风华高科昨日卖出榜单中，位居卖一的是平安证券深圳红岭基金产业园营业部，卖出金额6723.53万元。该席位历史上榜次数不多，但却是风华高科的常客。,4268130387317550
银行保险业-债券,#8月1日券商晨会研报汇编#【天风证券】计算机：行业深度：金融云SaaS，云计算下一个风口。SaaS，未来科技阵营分润金融的核心模式。2018年初强监管落地，模式变化的核心驱动因素。流量与数据输出助力银行 型，IT从内部管理到外部增收。IT厂商商业模式变化值得期待，金融云SaaS分润空间广阔。预计Q3科技阵营有望密集发布相关战略和产品，举办相关客户签约大会，市场对金融云的认知有望得到重塑。考虑绑定巨头流量大小、业务落地进度和受益程度，看好长亮科技、航天信息等，建议关注润和软件、神州信息等。,4268128826895900
金融无关,谢谢诸位，新书冲上当当经济类第一。[微风][微风]学知识喽……当当京东亚马逊,4268128240085360
市场行为-股票,【8/1#上证盘前#·市场】1.上证指数月线收阳 油气板块全天走强；2.主流险企：循政策信号发掘受益板块；3.风华高科股价闪崩 获利游资或为卖出主力；4.前7月医药基金业绩继续领跑 资金高度抱团或致防御性减弱；5.申万宏源：筑底过程或较漫长。,4268127464056790
宏观经济-宏观经济其它,【8/1#上证盘前#·宏观】1.中共中央政治局部署下半年经济工作；2.制造业PMI连续5个月保持在51%以上 中国经济平稳增长态势不变；3.深圳楼市调控加码 新购商品住房3年内禁止 让；4.广东答复全国两会代表委员建议提案 加快推进大湾区建设 形成全面开放新格局；5.保险销售误导花样百出 银保监会半年发11封“警示函”。,4268127283532810
微观经济-企业与房地产,【明确“坚决遏制房价上涨” 中央定调因城施策促进供求平衡】#坚定去杠杆##坚决遏制房价上涨#今年1~6月，各地房地产调控政策发布次数高达192次，比去年同期的116次多出65%。共有73个城市出台调控政策，包含限购政策135条、限贷政策176条，51个城市以及海南全域实行限售政策。全联房地产商会创会会长聂梅生表示，“上半年的政策几乎用到极致，但房价并没有下降，预期下半年甚至2019年房地产行业大幅下滑可能性不大，市场基本还是会保持平稳的态势。”,4268126977218060
宏观经济-外汇与外贸,【警惕海外央行货币紧缩连锁效应】进入下半年，以美国为首的全球主要发达经济体的货币政策料持续趋紧，廉价资金充斥市场的宽松时代行将结束，各部门高企的杠杆水平难以为继。种种迹象显示，紧缩政策效应已开始传导到金融市场资产价格，由此引发的一系列连锁反应不容小觑。,4268124368328860
市场行为-股票,【千山药机实控人再度爆仓 金龙机电员工持股计划被强平】近期上市公司实际控制人质押爆仓事件屡见网端。如果要将实控人被平仓次数列表排名，那么千山药机(300216)一定榜上有名。与千山药机一样遭遇债务风险的金龙机电，除控股股东外，员工持股计划所持700多万股股份已遭强平。7月31日，千山药机公告称，公司实控人之一彭勋德因股票质押发生违约，7月30日质押权人证券公司已强制平仓了彭勋德质押的标的证券59.3万股。,4268123986755920
金融无关,【今天，致敬最可爱的人】战争年代，他们用小米步枪，撑起民族脊梁；和平时期，他们用钢铁意志，守护岁月静好。他们生长着祖国的筋骨，沸腾着人民的血液，把危险和黑暗，挡在我们看不见的地方。撼山易，憾解放军难！今天，八一建军节，谢谢你们的守护！@人民日报,4268123500955250
市场行为-股票,【Twitter股价暴跌超20% 美国社交平台陷流量瓶颈】日前，Twitter发布第二季度财报，报告期内，月度活跃用户出现下滑，受此影响，美国当地时间7月27日，Twitter股价当日跌幅超过20%，创下公司自2014年以来的最大单日跌幅，史上第二大单日跌幅。根据Choice金融终端数据显示，截至美国当地时间7月30日下午收盘，Twitter股价维持在31.43美元，市值为237亿美元。而在一周前，其市值为319.2亿美元。以此计算，其市值缩水超80亿美元。,4268123500379340
市场行为-股票,【调结构重于加仓位 修复行情静待八月 机】7月最后一个交易日上证指数收出小阳线，结束四连阴，报收2876.4点，月内累计上涨1.02%，实现“七翻身”。“大象起舞”是7月行情最大亮点，权重板块有序轮动不断推升底部重心，但也能看到反弹受制于2900点，在此位置指数仍有整固需求。分析指出，7月消息面繁多，对市场交易结构、风向偏好等产生不同程度影响，本质上看市场行情更多来源于风险因素冲击后的估值修复，面对海外因素的不确定性，仓位管理仍是要义，后市可重点关注受益风险偏好修复逻辑的品种。,4268123391188090
金融无关,【今天， 发这条微博！#致敬中国军人#！[心]】有这样一群人，他们为中华盛强，保国捍疆；他们为人民安宁，给青春抹上橄榄绿。他们是你岁月静好背后的坚毅面庞；是战胜一切敌人、征服一切困难，势不可挡的中国力量！他们的名字叫中国人民解放军！今天八一建军节， 发传递，致敬！ （图片@央视新闻 ）,4268123370207920
市场行为-股票,风口浪尖的美年健康周二晚间火速回应了深交所的关注函，就其提出的6大问题进行了回复。资料显示，美年健康始创于2004年，总部位于上海，公司实际控制人为俞熔。在2015年之前，美年健康原本并非上市公司。但在2015年，公司通过重组中小板上市公司江苏三友，实现借壳上市。,4268122938804980
宏观经济-财政与货币政策,【申万宏源：政治局会议确认了财政政策更为积极和基建加码的力度】财联社8月1日讯，申万宏源宏观分析师李一民等发表研报，点评7月31日政治局会议。李一民认为，整体来看，本次会议确认了财政政策更为积极以及基建加码的力度，更具体地指明了补短板的方向，但未见更宽松的货币政策表述，多出了坚定做好去杠杆工作的部署。意味着政策边际调整将从财政扩大内需与定向信贷支持为原则，“内松外紧”意在对冲外部变化，货币政策并非“大放水”，尤其是要坚决遏制流动性“漂移”推动房价上涨。,4268121449992980
微观经济-企业与房地产,【新华社：从中央政治局会议看下半年中国经济六大信号】面对更加复杂多变的外部环境，下半年中国经济如何延续稳中向好态势？服务实体经济的同时，如何防范金融风险？如何推动房地产市场健康发展？,4268121029986490
金融无关,#我和军队的不解之缘#【热血军歌《军人的样子》，每一帧都是大片！[威武]】不要问为什么我全力以赴，从容的眼神，执着的追逐。这就是我们年轻的样子，所向披靡，在梦想的征途！这就是中国军人，永不服输，坚定的初心，刚毅的铁骨！,4268120941796930
市场行为-股票,【证券日报：战投办法是A股一大利好 彰显发展自信和投资价值】财联社8月1日讯，商务部7月30日发布了关于《关于修改<外国投资者对上市公司战略投资管理办法>的决定（征求意见稿）》，战投办法是中国新一轮对外开放的一项具体措施，彰显了A股市场对未来发展的自信，也向境内外投资者表明了A股市场具有很高的投资价值。战投办法对约收购方式的“鼓励”，就是对A股市场发展自信和投资价值的体现。战投办法征求意见结束正式实施之后，A股市场在资金供给方面就会形成内外夹击、长短结合的局面。战投办法会让A股市场的资金结构更加丰富和合理。,4268119394585990
市场行为-基金,【一文不值！ 中信保诚基金对ST长生按0元估值】#狂犬疫苗生产记录造假##长春长生董事长被刑拘##长生生物拉响退市警报#中信保诚基金发布公告，为维护基金份额持有人利益，7月31日起对旗下基金持有的“ST长生”按照每股0.00元进行估值。事实上，这已是中信保诚基金第三次调低ST长生估值。7月25日，中信保诚基金将“长生生物”股价按照7.71元进行估值，比前一日收盘价调低34.38%，相当于给出4个跌停。7月中旬，*ST华泽被银华基金、申万菱信、中信保诚、工银瑞信等多家基金公司按照0元进行估值。,4268117863060380
微观经济-企业与房地产,【五城限制企业购房 专家称北京或跟进】昨日，深圳发布《关于进一步加强房地产调控促进房地产市场平稳健康发展的通知》，从加强法人单位购买住房管理、加强商务公寓销售和运营管理、加强商品住房 让管理、完善差别化住房信贷政策等方面规范房地产市场秩序。至此，深圳成为继西安、长沙、杭州、上海之后的第五个出台限制企事业单位买房的城市。专家预计，后续北京等城市有可能跟进此类政策。,4268115955127460
金融无关,【[话筒]这些都是非法组织！别被骗】31日，民政部公布30家涉嫌非法社会组织名单。这些组织多冠以“国家”“中华”“全国”等名头，如“中华糖尿病医学会”“中国整形美容学会”“全国中小学教育研究学会”等。提醒：登录“中国社会组织”公共服务平台www.chinanpo.gov.cn ，可查询登记信息。 发提醒！,4268115950621250
市场行为-股票,发表了博文《期指交易常态化A股T+0是否该提上议事日程》7月23日，在中国期货业协会主办的期货公司高管人员培训班上，中国证监会副主席方星海表示，要抓紧恢复股指期货常态化交易，满足境内外投资者股票市场风¡查看图片,4268113485313340
宏观经济-财政与货币政策,发表了博文《新的宏观经济对策核心是稳中取胜》中共中央政治局7月31日召开会议。会议分析研究当前经济形势，部署下半年经济工作。这次会议的主要精神应该是在新的经济条件下，如何来化解当前中国经济中的稳增长、,4268113073321540
宏观经济-宏观经济其它,【政治局会议定调经济运行稳中有变：去杠杆方向不变，加大基建补短板力度】会议认为，上半年经济保持了总体平稳、稳中向好态势。当前经济运行稳中有变，面临一些新问题新挑战，外部环境发生明显变化。,4268113019610110
市场行为-股票,【亏损上百亿，老板被判刑，“A股绞肉机”却因一个尴尬的消息涨停】上市当年，华锐风电营收腰斩，净利润如疾风骤雨般狂跌超过70%；第二年，营收在2011年的基础上再次腰斩，净利润亏损近6亿，最近五年累计亏损超过100亿。昔日风电巨头被ST，如今沦为仙股，其近千亿的市值一路狂泻，成为A股最残忍的“绞肉机”。7月31日，ST锐电罕见地涨停了。,4268112847759430
